latitude,longitude,timestamp
40.69732,-74.19079,2023-12-05 13:40:36+00:00
40.69755,-74.19062,2023-12-05 13:40:38+00:00
40.69767,-74.19051,2023-12-05 13:40:39+00:00
40.69772,-74.19042,2023-12-05 13:40:39+00:00
40.69775,-74.19031,2023-12-05 13:40:40+00:00
40.69775,-74.19018,2023-12-05 13:40:40+00:00
40.69771,-74.18996,2023-12-05 13:40:42+00:00
40.69764,-74.18978,2023-12-05 13:40:43+00:00
40.69756,-74.18961,2023-12-05 13:40:44+00:00
40.69756,-74.18961,2023-12-05 13:40:44+00:00
40.69647,-74.18979,2023-12-05 13:40:51+00:00
40.69642,-74.1898,2023-12-05 13:40:51+00:00
40.69637,-74.1898,2023-12-05 13:40:52+00:00
40.69632,-74.1898,2023-12-05 13:40:52+00:00
40.69627,-74.18979,2023-12-05 13:40:52+00:00
40.69622,-74.18977,2023-12-05 13:40:53+00:00
40.69616,-74.18975,2023-12-05 13:40:53+00:00
40.69611,-74.18972,2023-12-05 13:40:53+00:00
40.69607,-74.18969,2023-12-05 13:40:54+00:00
40.69602,-74.18964,2023-12-05 13:40:54+00:00
40.6957,-74.18935,2023-12-05 13:40:57+00:00
40.69566,-74.18931,2023-12-05 13:40:57+00:00
40.69561,-74.18927,2023-12-05 13:40:57+00:00
40.69557,-74.18924,2023-12-05 13:40:58+00:00
40.69552,-74.18921,2023-12-05 13:40:58+00:00
40.69547,-74.18919,2023-12-05 13:40:58+00:00
40.69542,-74.18917,2023-12-05 13:40:59+00:00
40.69537,-74.18915,2023-12-05 13:40:59+00:00
40.69533,-74.18914,2023-12-05 13:40:59+00:00
40.69528,-74.18914,2023-12-05 13:41:00+00:00
40.69523,-74.18913,2023-12-05 13:41:00+00:00
40.69517,-74.18914,2023-12-05 13:41:00+00:00
40.69512,-74.18915,2023-12-05 13:41:01+00:00
40.69505,-74.18916,2023-12-05 13:41:01+00:00
40.69498,-74.18917,2023-12-05 13:41:02+00:00
40.6949,-74.18919,2023-12-05 13:41:02+00:00
40.6947,-74.18925,2023-12-05 13:41:04+00:00
40.6942,-74.18953,2023-12-05 13:41:07+00:00
40.69399,-74.18965,2023-12-05 13:41:09+00:00
40.69223,-74.19071,2023-12-05 13:41:22+00:00
40.69149,-74.19115,2023-12-05 13:41:27+00:00
40.69145,-74.19118,2023-12-05 13:41:27+00:00
40.69095,-74.19148,2023-12-05 13:41:31+00:00
40.69089,-74.19152,2023-12-05 13:41:32+00:00
40.69072,-74.19162,2023-12-05 13:41:33+00:00
40.69069,-74.19164,2023-12-05 13:41:33+00:00
40.69061,-74.19168,2023-12-05 13:41:34+00:00
40.69049,-74.19175,2023-12-05 13:41:34+00:00
40.69028,-74.19186,2023-12-05 13:41:36+00:00
40.69008,-74.19197,2023-12-05 13:41:37+00:00
40.68989,-74.19206,2023-12-05 13:41:39+00:00
40.6896,-74.1922,2023-12-05 13:41:41+00:00
40.6896,-74.1922,2023-12-05 13:41:41+00:00
40.6896,-74.1922,2023-12-05 13:41:41+00:00
40.68946,-74.19227,2023-12-05 13:41:42+00:00
40.68946,-74.19227,2023-12-05 13:41:42+00:00
40.68925,-74.19236,2023-12-05 13:41:43+00:00
40.68904,-74.19245,2023-12-05 13:41:45+00:00
40.68883,-74.19254,2023-12-05 13:41:46+00:00
40.68862,-74.19261,2023-12-05 13:41:48+00:00
40.68841,-74.19268,2023-12-05 13:41:49+00:00
40.68826,-74.19273,2023-12-05 13:41:50+00:00
40.68826,-74.19273,2023-12-05 13:41:50+00:00
40.68798,-74.1928,2023-12-05 13:41:52+00:00
40.68788,-74.19282,2023-12-05 13:41:53+00:00
40.68776,-74.19285,2023-12-05 13:41:54+00:00
40.68765,-74.19286,2023-12-05 13:41:54+00:00
40.68754,-74.19288,2023-12-05 13:41:55+00:00
40.68743,-74.19289,2023-12-05 13:41:56+00:00
40.68721,-74.19292,2023-12-05 13:41:57+00:00
40.6871,-74.19293,2023-12-05 13:41:58+00:00
40.687,-74.19294,2023-12-05 13:41:59+00:00
40.68688,-74.19294,2023-12-05 13:41:59+00:00
40.68673,-74.19295,2023-12-05 13:42:00+00:00
40.68452,-74.19298,2023-12-05 13:42:15+00:00
40.68441,-74.19298,2023-12-05 13:42:16+00:00
40.6843,-74.19299,2023-12-05 13:42:17+00:00
40.68421,-74.19299,2023-12-05 13:42:17+00:00
40.6841,-74.193,2023-12-05 13:42:18+00:00
40.68399,-74.19302,2023-12-05 13:42:19+00:00
40.68389,-74.19304,2023-12-05 13:42:19+00:00
40.68379,-74.19305,2023-12-05 13:42:20+00:00
40.68369,-74.19308,2023-12-05 13:42:21+00:00
40.68369,-74.19308,2023-12-05 13:42:21+00:00
40.68327,-74.19317,2023-12-05 13:42:24+00:00
40.68316,-74.19319,2023-12-05 13:42:24+00:00
40.68306,-74.19321,2023-12-05 13:42:25+00:00
40.68198,-74.19348,2023-12-05 13:42:32+00:00
40.68186,-74.19351,2023-12-05 13:42:33+00:00
40.68176,-74.19353,2023-12-05 13:42:34+00:00
40.68165,-74.19355,2023-12-05 13:42:35+00:00
40.68154,-74.19356,2023-12-05 13:42:35+00:00
40.68128,-74.1936,2023-12-05 13:42:37+00:00
40.68118,-74.19361,2023-12-05 13:42:38+00:00
40.68113,-74.19362,2023-12-05 13:42:38+00:00
40.68108,-74.19362,2023-12-05 13:42:38+00:00
40.68103,-74.19363,2023-12-05 13:42:39+00:00
40.68098,-74.19363,2023-12-05 13:42:39+00:00
40.68093,-74.19363,2023-12-05 13:42:39+00:00
40.68087,-74.19363,2023-12-05 13:42:40+00:00
40.68082,-74.19362,2023-12-05 13:42:40+00:00
40.68076,-74.19362,2023-12-05 13:42:41+00:00
40.68071,-74.19361,2023-12-05 13:42:41+00:00
40.68066,-74.1936,2023-12-05 13:42:41+00:00
40.6806,-74.19359,2023-12-05 13:42:42+00:00
40.68054,-74.19358,2023-12-05 13:42:42+00:00
40.68049,-74.19357,2023-12-05 13:42:42+00:00
40.68044,-74.19355,2023-12-05 13:42:43+00:00
40.68039,-74.19354,2023-12-05 13:42:43+00:00
40.68033,-74.19352,2023-12-05 13:42:43+00:00
40.68028,-74.1935,2023-12-05 13:42:44+00:00
40.68023,-74.19348,2023-12-05 13:42:44+00:00
40.68018,-74.19346,2023-12-05 13:42:45+00:00
40.68012,-74.19344,2023-12-05 13:42:45+00:00
40.68005,-74.1934,2023-12-05 13:42:45+00:00
40.67999,-74.19337,2023-12-05 13:42:46+00:00
40.67945,-74.19308,2023-12-05 13:42:50+00:00
40.67945,-74.19308,2023-12-05 13:42:50+00:00
40.67794,-74.19243,2023-12-05 13:43:00+00:00
40.67794,-74.19243,2023-12-05 13:43:00+00:00
40.67794,-74.19243,2023-12-05 13:43:00+00:00
40.67751,-74.19224,2023-12-05 13:43:03+00:00
40.67695,-74.192,2023-12-05 13:43:07+00:00
40.67689,-74.19197,2023-12-05 13:43:08+00:00
40.67683,-74.19195,2023-12-05 13:43:08+00:00
40.67678,-74.19193,2023-12-05 13:43:08+00:00
40.67672,-74.19192,2023-12-05 13:43:09+00:00
40.67665,-74.1919,2023-12-05 13:43:09+00:00
40.67642,-74.19184,2023-12-05 13:43:11+00:00
40.67636,-74.19182,2023-12-05 13:43:11+00:00
40.67631,-74.1918,2023-12-05 13:43:12+00:00
40.67609,-74.19171,2023-12-05 13:43:13+00:00
40.67609,-74.19171,2023-12-05 13:43:13+00:00
40.67607,-74.19178,2023-12-05 13:43:14+00:00
40.67606,-74.19185,2023-12-05 13:43:14+00:00
40.67604,-74.19191,2023-12-05 13:43:14+00:00
40.67601,-74.19197,2023-12-05 13:43:15+00:00
40.67599,-74.19204,2023-12-05 13:43:15+00:00
40.67595,-74.1921,2023-12-05 13:43:15+00:00
40.67592,-74.19216,2023-12-05 13:43:16+00:00
40.67589,-74.19222,2023-12-05 13:43:16+00:00
40.67585,-74.19228,2023-12-05 13:43:17+00:00
40.67575,-74.19244,2023-12-05 13:43:18+00:00
40.67572,-74.19249,2023-12-05 13:43:18+00:00
40.67571,-74.19253,2023-12-05 13:43:18+00:00
40.67569,-74.19258,2023-12-05 13:43:18+00:00
40.67568,-74.19262,2023-12-05 13:43:19+00:00
40.67568,-74.19266,2023-12-05 13:43:19+00:00
40.67568,-74.19271,2023-12-05 13:43:19+00:00
40.67568,-74.19276,2023-12-05 13:43:19+00:00
40.67568,-74.19282,2023-12-05 13:43:20+00:00
40.67568,-74.19283,2023-12-05 13:43:20+00:00
40.67568,-74.19288,2023-12-05 13:43:20+00:00
40.67577,-74.1931,2023-12-05 13:43:21+00:00
40.67609,-74.19391,2023-12-05 13:43:26+00:00
40.67617,-74.19411,2023-12-05 13:43:27+00:00
40.67645,-74.19479,2023-12-05 13:43:31+00:00
40.67669,-74.19539,2023-12-05 13:43:34+00:00
40.67692,-74.19597,2023-12-05 13:43:38+00:00
40.67697,-74.19609,2023-12-05 13:43:38+00:00
40.67708,-74.19636,2023-12-05 13:43:40+00:00
40.67731,-74.19694,2023-12-05 13:43:43+00:00
40.67736,-74.19705,2023-12-05 13:43:44+00:00
40.67741,-74.19718,2023-12-05 13:43:45+00:00
40.67741,-74.19718,2023-12-05 13:43:45+00:00
40.67724,-74.19738,2023-12-05 13:43:46+00:00
40.67716,-74.19747,2023-12-05 13:43:47+00:00
40.67707,-74.19756,2023-12-05 13:43:48+00:00
40.67698,-74.19765,2023-12-05 13:43:48+00:00
40.67689,-74.19773,2023-12-05 13:43:49+00:00
40.67631,-74.19826,2023-12-05 13:43:54+00:00
40.67602,-74.19846,2023-12-05 13:43:56+00:00
40.67591,-74.19854,2023-12-05 13:43:57+00:00
40.67517,-74.19907,2023-12-05 13:44:02+00:00
40.67508,-74.19913,2023-12-05 13:44:03+00:00
40.67438,-74.19961,2023-12-05 13:44:08+00:00
40.67406,-74.19983,2023-12-05 13:44:11+00:00
40.67367,-74.2001,2023-12-05 13:44:14+00:00
40.6732,-74.20038,2023-12-05 13:44:17+00:00
40.67314,-74.20042,2023-12-05 13:44:18+00:00
40.67274,-74.20066,2023-12-05 13:44:21+00:00
40.67231,-74.20092,2023-12-05 13:44:24+00:00
40.67219,-74.20099,2023-12-05 13:44:25+00:00
40.6718,-74.20122,2023-12-05 13:44:27+00:00
40.67104,-74.20167,2023-12-05 13:44:33+00:00
40.67039,-74.20206,2023-12-05 13:44:38+00:00
40.66975,-74.20244,2023-12-05 13:44:42+00:00
40.66909,-74.20283,2023-12-05 13:44:47+00:00
40.66844,-74.20321,2023-12-05 13:44:52+00:00
40.66792,-74.20352,2023-12-05 13:44:56+00:00
40.66772,-74.20366,2023-12-05 13:44:57+00:00
40.66721,-74.204,2023-12-05 13:45:01+00:00
40.66708,-74.20409,2023-12-05 13:45:02+00:00
40.66647,-74.20448,2023-12-05 13:45:07+00:00
40.66618,-74.20467,2023-12-05 13:45:09+00:00
40.66594,-74.20482,2023-12-05 13:45:11+00:00
40.66568,-74.205,2023-12-05 13:45:12+00:00
40.66553,-74.20509,2023-12-05 13:45:14+00:00
40.66489,-74.20549,2023-12-05 13:45:18+00:00
40.66425,-74.20591,2023-12-05 13:45:23+00:00
40.66359,-74.20629,2023-12-05 13:45:28+00:00
40.6626,-74.20687,2023-12-05 13:45:35+00:00
40.66083,-74.20795,2023-12-05 13:45:48+00:00
40.65761,-74.20993,2023-12-05 13:46:12+00:00
40.6563,-74.21071,2023-12-05 13:46:21+00:00
40.65554,-74.21117,2023-12-05 13:46:27+00:00
40.65476,-74.21167,2023-12-05 13:46:33+00:00
40.65464,-74.21175,2023-12-05 13:46:34+00:00
40.65441,-74.21191,2023-12-05 13:46:35+00:00
40.65413,-74.21212,2023-12-05 13:46:38+00:00
40.65379,-74.21243,2023-12-05 13:46:40+00:00
40.65347,-74.21277,2023-12-05 13:46:43+00:00
40.65323,-74.21309,2023-12-05 13:46:45+00:00
40.65305,-74.2134,2023-12-05 13:46:47+00:00
40.65303,-74.21344,2023-12-05 13:46:48+00:00
40.65285,-74.21384,2023-12-05 13:46:50+00:00
40.65272,-74.21422,2023-12-05 13:46:52+00:00
40.65261,-74.21462,2023-12-05 13:46:54+00:00
40.65242,-74.21529,2023-12-05 13:46:58+00:00
40.65225,-74.21596,2023-12-05 13:47:01+00:00
40.65213,-74.21638,2023-12-05 13:47:04+00:00
